id,slug,name,country,region,timezone,lat,lng,population
ueruemqi,ueruemqi,Ürümqi,CN,,Asia/Urumqi,43.8,87.6,3029372
surabaya,surabaya,Surabaya,ID,East Java,Asia/Jakarta,-7.25,112.75,3018022
incheon,incheon,Incheon,KR,,Asia/Seoul,37.46,126.71,3015482
lanzhou,lanzhou,Lanzhou,CN,,Asia/Shanghai,36.06,103.84,3000000
caracas,caracas,Caracas,VE,,America/Caracas,10.49,-66.88,3000000
kyiv,kyiv,Kyiv,UA,,Europe/Kyiv,50.45,30.52,2952301
izmir,izmir,İzmir,TR,,Europe/Istanbul,38.41,27.14,2938292
huizhou,huizhou,Huizhou,CN,,Asia/Shanghai,23.11,114.42,2900113
bue,buenosaires,Buenos Aires,AR,,America/Argentina/Buenos_Aires,-34.61,-58.38,2891082
haikou,haikou,Haikou,CN,Hainan,Asia/Shanghai,20.03,110.35,2873358
taichung,taichung,Taichung,TW,,Asia/Taipei,24.15,120.68,2850285
kanpur,kanpur,Kanpur,IN,,Asia/Kolkata,26.47,80.35,2823249
yto,toronto,Toronto,CA,,America/Toronto,43.71,-79.4,2794356
quito,quito,Quito,EC,,America/Guayaquil,-0.23,-78.52,2781641
bne,brisbane,Brisbane,AU,,Australia/Brisbane,-27.47,153.03,2780063
luanda,luanda,Luanda,AO,,Africa/Luanda,-8.84,13.23,2776168
osa,osaka,Osaka,JP,,Asia/Tokyo,34.69,135.5,2753862
linyi,linyi,Linyi,CN,,Asia/Shanghai,35.06,118.34,2743843
baoding,baoding,Baoding,CN,Hebei,Asia/Shanghai,38.87,115.46,2739887
kaohsiung,kaohsiung,Kaohsiung,TW,,Asia/Taipei,22.62,120.31,2737660
brooklyn,brooklyn,Brooklyn,US,New York,America/New_York,40.65,-73.95,2736074
guayaquil,guayaquil,Guayaquil,EC,,America/Guayaquil,-2.2,-79.89,2723665
belohorizonte,belohorizonte,Belo Horizonte,BR,,America/Sao_Paulo,-19.92,-43.94,2721564
minhang,minhang,Minhang,CN,,Asia/Shanghai,31.11,121.37,2716600
bazhong,bazhong,Bazhong,CN,Sichuan,Asia/Shanghai,31.87,106.74,2712894
salvador,salvador,Salvador,BR,,America/Bahia,-12.98,-38.49,2711840
abuja,abuja,Abuja,NG,,Africa/Lagos,9.06,7.5,2690000
gazipur,gazipur,Gazipur,BD,,Asia/Dhaka,24,90.42,2674697
chi,chicago,Chicago,US,,America/Chicago,41.85,-87.65,2664452
wenzhou,wenzhou,Wenzhou,CN,,Asia/Shanghai,28,120.67,2650000
bekasi,bekasi,Bekasi,ID,,Asia/Jakarta,-6.23,106.99,2648272
dakar,dakar,Dakar,SN,,Africa/Dakar,14.69,-17.44,2646503
haiphong,haiphong,Haiphong,VN,,Asia/Bangkok,20.86,106.68,2625200
yunfu,yunfu,Yunfu,CN,,Asia/Shanghai,22.93,112.04,2612800
navimumbai,navimumbai,Navi Mumbai,IN,,Asia/Kolkata,19.04,73.02,2600000
mogadishu,mogadishu,Mogadishu,SO,,Africa/Mogadishu,2.04,45.34,2587183
kumasi,kumasi,Kumasi,GH,,Africa/Accra,6.69,-1.62,2544530
bandung,bandung,Bandung,ID,West Java,Asia/Jakarta,-6.92,107.61,2528163
gujranwala,gujranwala,Gujranwala,PK,,Asia/Karachi,32.16,74.19,2511118
huaian,huaian,Huai'an,CN,Jiangsu,Asia/Shanghai,33.59,119.02,2494013
medan,medan,Medan,ID,,Asia/Jakarta,3.58,98.67,2486283
lucknow,lucknow,Lucknow,IN,,Asia/Kolkata,26.84,80.92,2472011
ouagadougou,ouagadougou,Ouagadougou,BF,,Africa/Ouagadougou,12.37,-1.53,2415266
nagpur,nagpur,Nagpur,IN,,Asia/Kolkata,21.15,79.08,2405665
fortaleza,fortaleza,Fortaleza,BR,,America/Fortaleza,-3.72,-38.54,2400000
cali,cali,Cali,CO,,America/Bogota,3.43,-76.52,2392877
daegu,daegu,Daegu,KR,,Asia/Seoul,35.87,128.59,2365523
algiers,algiers,Algiers,DZ,,Africa/Algiers,36.73,3.09,2364230
nanchang,nanchang,Nanchang,CN,,Asia/Shanghai,28.68,115.85,2357839
baku,baku,Baku,AZ,,Asia/Baku,40.38,49.89,2351300
hohhot,hohhot,Hohhot,CN,,Asia/Shanghai,40.81,111.65,2350000
nagoya,nagoya,Nagoya,JP,,Asia/Tokyo,35.18,136.91,2332176
rom,rome,Rome,IT,,Europe/Rome,41.89,12.51,2318895
queens,queens,Queens,US,,America/New_York,40.68,-73.84,2316841
houston,houston,Houston,US,Texas,America/Chicago,29.76,-95.36,2314157
per,perth,Perth,AU,Western Australia,Australia/Perth,-31.95,115.86,2309338
mashhad,mashhad,Mashhad,IR,,Asia/Tehran,36.3,59.61,2307177
shaoxing,shaoxing,Shaoxing,CN,,Asia/Shanghai,30,120.58,2300000
nantong,nantong,Nantong,CN,Jiangsu,Asia/Shanghai,32.03,120.87,2273326
baoshan,baoshan,Baoshan,CN,Shanghai,Asia/Shanghai,31.41,121.49,2265900
kowloon,kowloon,Kowloon,HK,,Asia/Hong_Kong,22.32,114.18,2232339
yantai,yantai,Yantai,CN,Shandong,Asia/Shanghai,37.48,121.44,2227733
gaziantep,gaziantep,Gaziantep,TR,,Europe/Istanbul,37.06,37.38,2222415
lubumbashi,lubumbashi,Lubumbashi,CD,,Africa/Lubumbashi,-11.66,27.48,2221925
manaus,manaus,Manaus,BR,,America/Manaus,-3.1,-60.02,2219580
lusaka,lusaka,Lusaka,ZM,,Africa/Lusaka,-15.41,28.29,2212301
brasilia,brasilia,Brasília,BR,,America/Sao_Paulo,-15.78,-47.93,2207718
zhuhai,zhuhai,Zhuhai,CN,Guangdong,Asia/Shanghai,22.28,113.57,2207090
santodomingo,santodomingo,Santo Domingo,DO,,America/Santo_Domingo,18.47,-69.89,2201941
lome,lome,Lomé,TG,,Africa/Lome,6.13,1.22,2188376
multan,multan,Multan,PK,,Asia/Karachi,30.2,71.48,2169915
havana,havana,Havana,CU,,America/Havana,23.13,-82.38,2163824
depok,depok,Depok,ID,West Java,Asia/Jakarta,-6.4,106.82,2163635
baotou,baotou,Baotou,CN,,Asia/Shanghai,40.65,109.84,2150000
par,paris,Paris,FR,,Europe/Paris,48.85,2.35,2138551
coimbatore,coimbatore,Coimbatore,IN,,Asia/Kolkata,11.01,76.97,2136916
qingyang,qingyang,Qingyang,CN,Gansu,Asia/Shanghai,35.71,107.64,2125400
portharcourt,portharcourt,Port Harcourt,NG,,Africa/Lagos,4.78,7.01,2120000
pretoria,pretoria,Pretoria,ZA,,Africa/Johannesburg,-25.74,28.19,2112693
cordoba,cordoba,Córdoba,AR,,America/Argentina/Cordoba,-31.41,-64.19,2106734
mbujimayi,mbujimayi,Mbuji-Mayi,CD,,Africa/Lubumbashi,-6.14,23.59,2101332
aleppo,aleppo,Aleppo,SY,,Asia/Damascus,36.2,37.16,2098210
kunshan,kunshan,Kunshan,CN,,Asia/Shanghai,31.38,120.95,2092496
almawsilaljadidah,almawsilaljadidah,Al Mawşil al Jadīdah,IQ,,Asia/Baghdad,36.33,43.11,2065597
weifang,weifang,Weifang,CN,,Asia/Shanghai,36.71,119.1,2044028
zunyi,zunyi,Zunyi,CN,,Asia/Shanghai,27.69,106.91,2037775
albasrahalqadimah,albasrahalqadimah,Al Başrah al Qadīmah,IQ,,Asia/Baghdad,30.5,47.82,2015483
lapaz,lapaz,La Paz,BO,,America/La_Paz,-16.5,-68.15,2004652
lianyungang,lianyungang,Lianyungang,CN,,Asia/Shanghai,34.6,119.22,2001009
medellin,medellin,Medellín,CO,,America/Bogota,6.25,-75.57,1999979
indore,indore,Indore,IN,,Asia/Kolkata,22.72,75.83,1994397
brazzaville,brazzaville,Brazzaville,CG,,Africa/Brazzaville,-4.27,15.28,1982000
tashkent,tashkent,Tashkent,UZ,,Asia/Tashkent,41.26,69.22,1978028
ganzhou,ganzhou,Ganzhou,CN,Jiangxi,Asia/Shanghai,25.85,114.93,1977253
almaty,almaty,Almaty,KZ,,Asia/Almaty,43.25,76.91,1977011
khartoum,khartoum,Khartoum,SD,,Africa/Khartoum,15.55,32.53,1974647
ham,hamburg,Hamburg,DE,,Europe/Berlin,53.55,9.99,1973896
sapporo,sapporo,Sapporo,JP,,Asia/Tokyo,43.07,141.35,1973832
songjiang,songjiang,Songjiang,CN,Shanghai,Asia/Shanghai,31.03,121.22,1973500
accra,accra,Accra,GH,,Africa/Accra,5.56,-0.2,1963264
curitiba,curitiba,Curitiba,BR,,America/Sao_Paulo,-25.43,-49.27,1948626
ordos,ordos,Ordos,CN,,Asia/Shanghai,39.61,109.78,1940653
sanaa,sanaa,Sanaa,YE,,Asia/Aden,15.35,44.21,1937451
conakry,conakry,Conakry,GN,,Africa/Conakry,9.54,-13.68,1928389
tangerang,tangerang,Tangerang,ID,,Asia/Jakarta,-6.18,106.63,1927815
tijuana,tijuana,Tijuana,MX,,America/Tijuana,32.5,-117,1922523
hyderabad_pk,hyderabad_pk,Hyderabad,PK,,Asia/Karachi,25.4,68.38,1921275
beirut,beirut,Beirut,LB,,Asia/Beirut,33.89,35.5,1916100
jieyang,jieyang,Jieyang,CN,,Asia/Shanghai,23.54,116.37,1899394
jilin,jilin,Jilin,CN,,Asia/Shanghai,43.85,126.56,1895865
jiading,jiading,Jiading,CN,Shanghai,Asia/Shanghai,31.39,121.24,1886100
bucharest,bucharest,Bucharest,RO,,Europe/Bucharest,44.43,26.11,1877155
camayenne,camayenne,Camayenne,GN,,Africa/Conakry,9.54,-13.69,1871242
kakamega,kakamega,Kakamega,KE,,Africa/Nairobi,0.28,34.75,1867579
shangqiu,shangqiu,Shangqiu,CN,,Asia/Shanghai,34.41,115.66,1859723
nanchong,nanchong,Nanchong,CN,,Asia/Shanghai,30.8,106.08,1858875
tainan,tainan,Tainan,TW,,Asia/Taipei,22.99,120.21,1856642
datong,datong,Datong,CN,Shanxi,Asia/Shanghai,40.09,113.29,1850000
kaduna,kaduna,Kaduna,NG,,Africa/Lagos,10.53,7.44,1850000
omdurman,omdurman,Omdurman,SD,,Africa/Khartoum,15.64,32.48,1849659
davao,davao,Davao,PH,,Asia/Manila,7.07,125.61,1848947
thane,thane,Thāne,IN,,Asia/Kolkata,19.2,72.96,1841488
iztapalapa,iztapalapa,Iztapalapa,MX,,America/Mexico_City,19.36,-99.06,1835486
diyarbakir,diyarbakir,Diyarbakır,TR,,Europe/Istanbul,37.91,40.22,1833684
santacruzdelasierra,santacruzdelasierra,Santa Cruz de la Sierra,BO,,America/La_Paz,-17.79,-63.18,1831434
vadodara,vadodara,Vadodara,IN,,Asia/Kolkata,22.3,73.21,1822221
adana,adana,Adana,TR,,Europe/Istanbul,36.99,35.33,1816750
nanyang,nanyang,Nanyang,CN,Henan,Asia/Shanghai,33.01,112.55,1811812
abudhabi,abudhabi,Abu Dhabi,AE,,Asia/Dubai,24.45,54.4,1807000
palembang,palembang,Palembang,ID,,Asia/Jakarta,-2.92,104.75,1801367
sharjah,sharjah,Sharjah,AE,,Asia/Dubai,25.33,55.41,1800000
bhopal,bhopal,Bhopal,IN,,Asia/Kolkata,23.25,77.4,1798218
jiangmen,jiangmen,Jiangmen,CN,,Asia/Shanghai,22.58,113.08,1795459
benincity,benincity,Benin City,NG,,Africa/Lagos,6.34,5.63,1782000
jiangyin,jiangyin,Jiangyin,CN,Jiangsu,Asia/Shanghai,31.91,120.26,1779515
fuyang,fuyang,Fuyang,CN,Anhui,Asia/Shanghai,32.9,115.82,1768947
ymq,montreal,Montréal,CA,,America/Toronto,45.51,-73.59,1762949
bayannur,bayannur,Bayan Nur,CN,,Asia/Shanghai,40.74,107.39,1760000
maracaibo,maracaibo,Maracaibo,VE,,America/Caracas,10.64,-71.61,1752602
chaozhou,chaozhou,Chaozhou,CN,,Asia/Shanghai,23.65,116.62,1750945
minsk,minsk,Minsk,BY,,Europe/Minsk,53.9,27.57,1742124
budapest,budapest,Budapest,HU,,Europe/Budapest,47.5,19.04,1741041
qingyuan,qingyuan,Qingyuan,CN,Guangdong,Asia/Shanghai,23.7,113.03,1738424
taian,taian,Tai’an,CN,Shandong,Asia/Shanghai,36.19,117.12,1735425
rasapudipalem,rasapudipalem,Rasapūdipalem,IN,,Asia/Kolkata,17.73,83.32,1728128
pimprichinchwad,pimprichinchwad,Pimpri-Chinchwad,IN,,Asia/Kolkata,18.62,73.8,1727692
caloocan,caloocan,Caloocan,PH,,Asia/Manila,14.65,120.97,1712945
warsaw,warsaw,Warsaw,PL,,Europe/Warsaw,52.23,21.01,1702139
soweto,soweto,Soweto,ZA,,Africa/Johannesburg,-26.27,27.86,1695047
semarang,semarang,Semarang,ID,,Asia/Jakarta,-6.99,110.42,1694740
puebla,puebla,Puebla,MX,Puebla,America/Mexico_City,19.05,-98.21,1692181
vie,vienna,Vienna,AT,,Europe/Vienna,48.21,16.37,1691468
bcn,barcelona,Barcelona,ES,,Europe/Madrid,41.39,2.16,1686208
patna,patna,Patna,IN,,Asia/Kolkata,25.59,85.14,1684297
mosul,mosul,Mosul,IQ,,Asia/Baghdad,36.34,43.12,1683000
kallakurichi,kallakurichi,Kallakurichi,IN,,Asia/Kolkata,11.73,78.96,1682687
kampala,kampala,Kampala,UG,,Africa/Kampala,0.32,32.58,1680600
xining,xining,Xining,CN,,Asia/Shanghai,36.63,101.76,1677177
changshu,changshu,Changshu,CN,,Asia/Shanghai,31.65,120.74,1677050
huainan,huainan,Huainan,CN,Anhui,Asia/Shanghai,32.63,117,1666826
